time,mainDescription,detailedDescription,icon,currentTemp,maxTemp,minTemp,pressure,humidity,windSpeed,windAngle,cloudDensity,visibility
1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000
1521226800,Rain,light rain,10n,279.66,280.15,279.15,1001,93,5.7,100,40,10000
1521228600,Rain,light rain,10n,279.27,280.15,278.15,1001,100,5.1,90,40,10000
1521230400,Clouds,scattered clouds,03n,279.16,280.15,278.15,1002,93,5.7,90,40,10000
1521232200,Clouds,scattered clouds,03n,279.71,280.15,279.15,1002,93,5.7,100,40,10000
1521234000,Clouds,scattered clouds,03n,279.66,280.15,279.15,1003,93,6.2,90,40,10000
1521235800,Clouds,scattered clouds,03n,279.71,280.15,279.15,1003,93,5.1,90,40,10000
1521237600,Clouds,broken clouds,04n,280.15,280.15,280.15,1003,87,7.2,80,75,10000
1521239400,Clouds,broken clouds,04n,280.15,280.15,280.15,1004,87,6.7,80,75,10000
1521241200,Rain,light rain,10n,280.15,280.15,280.15,1004,93,7.7,90,75,10000
1521243000,Rain,light rain,10n,279.71,280.15,279.15,1004,93,6.7,80,75,10000
1521244800,Rain,light rain,10n,279.66,280.15,279.15,1005,93,7.7,80,75,10000
1521246600,Rain,light rain,10n,279.71,280.15,279.15,1005,93,7.7,80,75,10000
1521248400,Rain,light rain,10n,279.15,279.15,279.15,1005,93,8.7,70,75,9000
1521250200,Rain,light rain,10n,279.15,279.15,279.15,1006,87,9.8,80,75,9000
1521252000,Rain,light rain,10n,278.66,279.15,278.15,1006,93,10.8,90,90,7000
1521253800,Rain,light rain,10n,278.71,279.15,278.15,1006,93,10.8,90,90,7000
1521255600,Rain,light rain,10n,277.66,278.15,277.15,1006,100,10.3,90,75,8000
1521257400,Rain,light rain,10n,277.71,278.15,277.15,1006,93,11.3,90,75,7000
1521259200,Rain,light rain,10n,277.15,277.15,277.15,1007,93,10.3,90,75,9000
1521261000,Rain,light rain,10n,277.15,277.15,277.15,1007,86,11.8,80,75,10000
1521262800,Rain,light rain,10n,277.15,277.15,277.15,1008,86,12.9,80,75,10000
1521264600,Rain,light rain,10n,277.15,277.15,277.15,1008,80,11.3,90,75,10000
1521266400,Clouds,broken clouds,04n,277.15,277.15,277.15,1008,80,10.8,90,75,10000
1521268200,Clouds,broken clouds,04n,276.71,277.15,276.15,1009,86,10.8,90,75,10000
1521270000,Clouds,broken clouds,04d,276.15,276.15,276.15,1009,86,9.8,90,75,10000
1521271800,Clouds,broken clouds,04d,276.15,276.15,276.15,1010,86,10.3,90,75,10000
1521273600,Rain,light rain,10d,276.15,276.15,276.15,1011,100,10.8,80,75,10000
1521275400,Rain,light rain,10d,276.15,276.15,276.15,1011,100,11.8,80,75,10000
1521277200,Rain,light rain,10d,275.15,275.15,275.15,1011,80,11.3,80,75,10000
1521279000,Rain,light rain,10d,275.15,275.15,275.15,1012,80,11.3,90,75,10000
1521280800,Snow,shower sleet,13d,275.15,275.15,275.15,1012,80,14.32,87,75,10000
1521282600,Snow,shower sleet,13d,275.15,275.15,275.15,1012,74,10.8,80,75,10000
1521284400,Snow,shower sleet,13d,275.15,275.15,275.15,1012,74,10.3,80,75,10000
1521286200,Snow,shower sleet,13d,275.15,275.15,275.15,1013,69,12.3,80,75,10000
1521288000,Clouds,broken clouds,04d,275.15,275.15,275.15,1013,69,12.3,80,75,10000
1521289800,Clouds,broken clouds,04d,275.15,275.15,275.15,1013,64,13.4,80,75,10000
1521291600,Clouds,broken clouds,04d,275.15,275.15,275.15,1013,64,12.9,80,75,10000
1521293400,Clouds,broken clouds,04d,275.15,275.15,275.15,1013,59,10.8,80,75,10000
1521295200,Clouds,broken clouds,04d,275.15,275.15,275.15,1013,55,11.3,80,75,10000
1521297000,Clouds,broken clouds,04d,275.15,275.15,275.15,1013,55,11.3,80,75,10000
